"NUTS0","time","geo","EUR_HAB","EUR_HAB_EU","MIO_EUR","Act_F_Y15_64","Act_T_Y15_64","Emp_B_E","Emp_M_N","Emp_TOTAL","Rel_Emp_B_E","Rel_Emp_M_N","Unem","long","lat","area","FemPopNr","TotPopNr","GDP_PC","Act_Sh_T_Y15_64","Act_Sh_F_Y15_64","MWAY_KM","MWAY_KM_TKM2","RD_EUR_MIO_1","RD_EMP_EUR_1","HICP","HICP_1","Y09GDPHab","lGDPpc","lRD_1","lMWkm2","Total","ERR","logTotEn","ERR_1","NUTS0AT","NUTS0BE","NUTS0CZ","NUTS0DE","NUTS0DK","NUTS0HU","NUTS0LU","NUTS0NL","NUTS0PL","NUTS0SI","NUTS0SK"
"CZ",2011,"CZ05",13636.3636363636,49,20559.1966173362,317.5,726.9,245.2,31.1,678.2,0.361545266882925,0.0458566794455913,6.6,15.7636609742699,50.284134778615,13021.827695669,766857,1508735,0.0136267778087842,0.481794350896612,0.414027647918712,26,1.99664752196402,216.415766738661,319.10316534748,94.6,92.6,12.568306010929,9.52049530028002,5.76551445284478,1.99664752196402,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ02",14904.8625792812,54,18959.8308668076,272.7,632.8,163.5,38.1,600.4,0.272318454363758,0.0634576948700866,5.1,14.532934585653,49.9974644709422,11455.3709351107,640231,1264986,0.0149881744673914,0.500242690432938,0.425940012276819,194,16.9352874820832,257.005399568035,428.056961305854,94.6,92.6,13.9890710382514,9.60944278629652,6.0592562738897,16.9352874820832,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ08",14164.9048625793,51,17452.4312896406,260,591.2,195.8,30.1,535.9,0.365366672886733,0.056167195372271,9.3,18.0323440232921,49.8093159802872,5555.11515130523,630867,1234705,0.0141348996640012,0.478818827169243,0.41213124160877,54,9.72077059236336,132.390928725702,247.044091669532,94.6,92.6,12.568306010929,9.55852269586926,5.50956682948071,9.72077059236336,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ07",13319.2389006343,48,16381.6067653277,259,587.5,194.3,26.4,542.3,0.358288770053476,0.0486815415821501,7.6,17.4271004009172,49.5365007714542,8978.81385405196,628462,1229117,0.0133279474332612,0.477985415546282,0.412117200403525,53,5.90278413847305,145.211663066955,267.769985371482,94.6,92.6,12.3497267759563,9.49696480286983,5.59012834845259,5.90278413847305,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ03",14482.0295983087,52,17469.3446088795,260.6,600,184.1,25.8,567.7,0.324290998766954,0.0454465386647877,5.3,13.8510985703619,49.3399511662191,17250.8520221712,611213,1207027,0.014473035490407,0.497089128909295,0.426365276916558,125,7.2460189119556,188.296976241901,331.683946172099,94.6,92.6,13.6612021857924,9.58066382174648,5.80418254614473,7.2460189119556,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ01",34883.7209302326,126,43149.0486257928,284.5,643.1,57.8,71.5,619.6,0.0932859909619109,0.115397030342156,3.6,14.4103333333333,50.0223333333333,235.633988113052,635417,1234037,0.0349657657151226,0.521135103728656,0.44773747003936,11,46.682569386902,891.916846652268,1439.50427154982,94.6,92.6,33.3333333333333,10.4597755503789,7.27205407743221,46.682569386902,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ06",15010.5708245243,54,25093.023255814,351.9,812.1,228,50.8,753,0.302788844621514,0.0674634794156706,7.2,16.1461948047059,49.2293225091705,14554.9965412936,852579,1675872,0.0149731144477704,0.484583548146875,0.412747674995514,227,15.5960188211646,395.593952483801,525.357174613282,94.6,92.6,13.879781420765,9.61650995351961,6.26407836386704,15.5960188211646,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2011,"CZ04",12684.9894291755,46,14340.3805496829,236.2,552,160.9,25,499.2,0.322315705128205,0.0500801282051282,9.5,13.3995451254205,50.3961226043747,8397.73887353264,573874,1132252,0.01266536120023,0.487523978760912,0.411588606558234,57,6.78754136778988,35.7397408207343,71.5940320928172,94.6,92.6,12.3497267759563,9.4481746387004,4.27101171983376,6.78754136778988,43785.8,0.0785642833978139,10.6870648428868,0.0689015289927491,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ05",12755.1020408163,47,19244.8979591837,322.6,733.3,239.2,32.6,674.4,0.354685646500593,0.0483392645314354,8,15.7636609742699,50.284134778615,13021.827695669,766687,1508867,0.0127545356609851,0.485993795344454,0.420771449105045,26,1.99664752196402,258.439746300211,383.214333185367,98,94.6,12.568306010929,9.45368663060791,5.94859444932561,1.99664752196402,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
"CZ",2012,"CZ07",12653.0612244898,47,15531.6326530612,262.1,595.5,194.4,29.1,550.1,0.353390292674059,0.0528994728231231,7.5,17.4271004009172,49.5365007714542,8978.81385405196,627674,1227668,0.0126513297186708,0.485065995041005,0.417573453735538,53,5.90278413847305,182.756871035941,332.224815553428,98,94.6,12.3497267759563,9.44565445891065,5.80581189503171,5.90278413847305,43503.2,0.0847730741646592,10.6805897775895,0.0785642833978139,0,0,1,0,0,0,0,0,0,0,0
